scenario,study_id,method_id,family,role,source_type,platform_recomputed,source_file,source_label,source_line,source_page,drr_star,raw_image_replay,data_access,source_sha256,metric,mean,sd,status,missing_reason,unit,direction,uncertainty_kind,uncertainty_scope,n_repeats,source_raw,source_precision
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.672,0.021,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.672\pm.021$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.242,0.039,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.242\pm.039$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.086,0.014,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$\best{1.086\pm.014}$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.255,0.152,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.255\pm.152$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-EWC,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,669,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.676,0.024,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.676\pm.024$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.236,0.042,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.236\pm.042$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.084,0.008,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.084\pm.008$,"{""mean"": 3, ""sd"": 3}"
