scenario,study_id,method_id,family,role,source_type,platform_recomputed,source_file,source_label,source_line,source_page,drr_star,raw_image_replay,data_access,source_sha256,metric,mean,sd,status,missing_reason,unit,direction,uncertainty_kind,uncertainty_scope,n_repeats,source_raw,source_precision
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.259,0.151,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.259\pm.151$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-SI,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,670,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.663,0.029,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.663\pm.029$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.09,0.027,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.090\pm.027$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,0.894,0.021,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$.894\pm.021$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.224,0.153,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.224\pm.153$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Regu-LwF,regularization,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,671,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.75,0.021,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.750\pm.021$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.1,0.027,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.100\pm.027$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.054,0.014,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.054\pm.014$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.256,0.15,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.256\pm.150$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-ER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,674,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.027,,reported,,ratio,minimize,,,,$.027^{*}$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.726,0.026,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.726\pm.026$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.14,0.04,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.140\pm.040$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.059,0.01,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.059\pm.010$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.255,0.15,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.255\pm.150$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GSS,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,675,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.036,,reported,,ratio,minimize,,,,$.036^{*}$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.718,0.018,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.718\pm.018$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.095,0.022,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.095\pm.022$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,0.994,0.024,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$.994\pm.024$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.251,0.154,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.251\pm.154$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,676,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.042,,reported,,ratio,minimize,,,,$.042^{*}$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.661,0.01,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.661\pm.010$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.188,0.01,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.188\pm.010$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.013,0.022,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.013\pm.022$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.212,0.08,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.212\pm.080$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-GPM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,677,,False,False,historical_subspace,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.113,,reported,,ratio,minimize,,,,$.113$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.74,0.015,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.740\pm.015$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.093,0.023,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.093\pm.023$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.023,0.027,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.023\pm.027$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.253,0.155,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.253\pm.155$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-AGEM,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,678,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.042,,reported,,ratio,minimize,,,,$.042^{*}$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.715,0.011,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.715\pm.011$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.126,0.015,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.126\pm.015$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.018,0.016,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.018\pm.016$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.249,0.148,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.249\pm.148$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-DER,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,679,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.027,,reported,,ratio,minimize,,,,$.027^{*}$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.725,0.013,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.725\pm.013$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.105,0.018,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.105\pm.018$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.012,0.013,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.012\pm.013$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.251,0.149,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.251\pm.149$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-DER++,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,680,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.027,,reported,,ratio,minimize,,,,$.027^{*}$,"{""mean"": 3, ""sd"": null}"
